transaction_id,amount,timestamp,description
TXN-71FA75061C34,28809.76,2024-08-12T06:27:19+00:00,Deposit ref ACC0094
TXN-2C35A98C5581,28838.77,2024-10-10T10:42:24+00:00,Wire transfer ACC0035
TXN-0886F761CD97,39386.72,2024-02-01T10:35:34+00:00,Deposit ref ACC0027
TXN-4240A08928FF,1840.25,2024-10-13T20:59:58+00:00,Settlement ACC0094
TXN-20AD94C2A795,7533.81,2024-06-27T03:00:44+00:00,Wire transfer ACC0002
TXN-77CC3E5EE4B1,2000.94,2024-01-24T11:36:38+00:00,Settlement ACC0028
TXN-6370EDF82A3D,15554.36,2024-11-23T07:53:57+00:00,Settlement ACC0039
TXN-437790C4933B,10792.6,2024-12-10T18:56:28+00:00,Settlement ACC0012
TXN-FB87EE815D0D,4995.5,2024-05-29T03:03:04+00:00,Payment from ACC0078
TXN-23D9B04CAF4F,46318.24,2024-01-09T08:17:13+00:00,Payment from ACC0072
TXN-6AEE7978F964,21833.08,2024-10-08T05:25:18+00:00,Wire transfer ACC0027
TXN-1F33AC75FB5D,41953.26,2024-08-04T20:08:43+00:00,Deposit ref ACC0020
TXN-C53CB4983ED2,46423.46,2024-05-10T02:49:07+00:00,ACH credit ACC0014
TXN-5D54EEA3140A,25853.31,2024-02-25T05:46:09+00:00,Settlement ACC0089
TXN-23BD5696ABCC,43611.04,2024-02-26T18:40:26+00:00,Settlement ACC0085
TXN-77462AD7DF2C,27283.42,2024-09-06T07:00:34+00:00,ACH credit ACC0081
TXN-894F74C8E825,48078.82,2024-02-08T20:40:58+00:00,ACH credit ACC0052
TXN-6A4754B2B0C3,43797.86,2024-11-08T09:22:02+00:00,Deposit ref ACC0087
TXN-81888B14763A,18666.18,2024-05-11T16:30:14+00:00,Deposit ref ACC0051
TXN-BF08EB0ADCF8,43695.22,2024-04-30T12:45:10+00:00,ACH credit ACC0094
TXN-6E0EAF39593C,44038.5,2024-04-06T14:24:22+00:00,Settlement ACC0029
TXN-F5F25D0E7E01,4171.87,2024-04-08T17:07:25+00:00,Settlement ACC0059
TXN-26F9A5101425,33460.84,2024-05-15T12:20:15+00:00,Settlement ACC0060
TXN-1DB92E6B7537,2972.67,2024-02-16T04:26:07+00:00,ACH credit ACC0076
TXN-CC2433D64281,16876.12,2024-01-07T07:40:07+00:00,Payment from ACC0006
TXN-7B22C5D82FD4,19164.52,2024-09-13T13:51:55+00:00,Settlement ACC0099
TXN-C83860BC58C3,25162.6,2024-07-13T01:47:25+00:00,Wire transfer ACC0022
TXN-A88F420BF31E,26880.51,2024-09-14T21:48:31+00:00,Wire transfer ACC0097
TXN-B3BF93840B38,22109.61,2024-07-23T06:41:58+00:00,Wire transfer ACC0026
TXN-2B24B40DCF63,32422.66,2024-02-27T04:50:23+00:00,Settlement ACC0074
TXN-D91B1183AE61,44321.87,2024-10-26T14:15:05+00:00,Payment from ACC0094
TXN-10881C91484C,11334.89,2024-02-23T10:12:07+00:00,Wire transfer ACC0025
TXN-F19D1AC56779,20805.32,2024-02-06T22:15:51+00:00,ACH credit ACC0052
TXN-42D6B93C960B,12103.86,2024-08-24T12:00:12+00:00,ACH credit ACC0017
TXN-8586B56869D0,21606.43,2024-04-28T07:27:35+00:00,Payment from ACC0098
TXN-CEB69E979ECC,15083.7,2024-08-20T13:51:52+00:00,Settlement ACC0053
TXN-113FA5DC0987,47092.83,2024-08-13T03:40:27+00:00,ACH credit ACC0096
TXN-86B4C10A97AB,26274.31,2024-08-30T01:03:23+00:00,ACH credit ACC0034
TXN-57D867C9CE2F,2958.51,2024-03-11T23:09:41+00:00,Wire transfer ACC0026
TXN-F2DA9917B33F,956.68,2024-05-01T19:49:33+00:00,Settlement ACC0025
TXN-D59582352B6C,49376.23,2024-01-28T15:57:08+00:00,Settlement ACC0083
TXN-B37010060CF9,25401.26,2024-01-21T15:27:35+00:00,Settlement ACC0056
TXN-C851700CB83E,43345.33,2024-12-22T18:11:13+00:00,Settlement ACC0066
TXN-8DFF9DF8627F,4084.48,2024-06-12T12:12:53+00:00,Deposit ref ACC0016
TXN-913A0D267B9F,28855.2,2024-10-18T04:53:16+00:00,Settlement ACC0029
TXN-B3717F4A2DE7,14045.01,2024-12-17T06:37:18+00:00,Deposit ref ACC0005
TXN-58B15C612C50,31481.64,2024-08-21T17:30:35+00:00,Payment from ACC0017
TXN-C011AC6DFE07,11269.53,2024-08-31T14:03:17+00:00,Wire transfer ACC0009
TXN-1C56D7DD6EBE,35667.9,2024-04-25T17:47:17+00:00,Settlement ACC0004
TXN-52DA718EC828,30279.5,2024-03-09T21:41:40+00:00,Settlement ACC0020
TXN-9CEC8C5199D4,49834.32,2024-03-13T08:37:21+00:00,ACH credit ACC0044
TXN-4008C7AF008A,12139.06,2024-04-24T12:01:40+00:00,Deposit ref ACC0075
TXN-3342C8979E76,16345.15,2024-09-26T23:49:40+00:00,Payment from ACC0095
TXN-6B83A879732A,4723.41,2024-06-27T18:57:27+00:00,ACH credit ACC0020
TXN-46C5D5FE4F25,24343.92,2024-06-30T02:41:17+00:00,Settlement ACC0033
TXN-08D3FD268910,16445.45,2024-04-05T09:07:24+00:00,Settlement ACC0011
TXN-AA42518976DE,41947.48,2024-08-13T01:49:23+00:00,Settlement ACC0091
TXN-C2CA1F2208F8,13430.39,2024-09-18T15:04:38+00:00,Deposit ref ACC0007
TXN-C5D94A65E9D9,18893.1,2024-05-31T13:52:01+00:00,ACH credit ACC0041
TXN-9CB4B4A15886,7139.7,2024-12-04T01:15:06+00:00,ACH credit ACC0002
TXN-E07FF245274B,30735.13,2024-03-26T02:25:35+00:00,Wire transfer ACC0048
TXN-D6DEA6319FCE,27710.08,2024-12-25T10:58:16+00:00,Deposit ref ACC0090
TXN-D2238A718E36,28395.36,2024-06-17T22:20:03+00:00,Wire transfer ACC0076
TXN-570AA55497E9,5390.53,2024-06-14T00:28:51+00:00,Settlement ACC0066
TXN-7D3357AEA355,1895.89,2024-03-18T10:40:31+00:00,ACH credit ACC0001
TXN-E8F83D2C25C5,37449.38,2024-07-15T11:46:29+00:00,Payment from ACC0094
TXN-14E8D6B6D3B0,33165.77,2024-09-16T10:19:46+00:00,ACH credit ACC0059
TXN-4D80C0292305,32050.21,2024-10-14T02:22:30+00:00,Payment from ACC0023
TXN-3BE9E86DD388,36.79,2024-09-13T11:39:38+00:00,ACH credit ACC0006
TXN-42D3472DF2C8,29286.46,2024-07-04T14:19:26+00:00,Settlement ACC0004
TXN-98F148B7D8CB,4416.15,2024-04-12T04:11:42+00:00,Wire transfer ACC0056
TXN-AC72ED2033C8,43497.11,2024-08-09T00:25:02+00:00,Deposit ref ACC0015
TXN-80202E755E22,32901.51,2024-04-18T03:24:47+00:00,Deposit ref ACC0009
TXN-66B5D72C0F34,16513.79,2024-01-16T02:58:04+00:00,Deposit ref ACC0040
TXN-89EFBF80F3D5,2129.32,2024-03-26T01:14:10+00:00,Wire transfer ACC0062
TXN-17FCBA1C11EE,37055.16,2024-03-31T11:35:01+00:00,Payment from ACC0020
TXN-04A139F166CF,41746.56,2024-02-18T06:13:43+00:00,Deposit ref ACC0033
TXN-21DA9B0A8C0D,21081.82,2024-02-22T05:22:00+00:00,Deposit ref ACC0023
TXN-C0DD530C3F42,12592.47,2024-04-05T18:23:09+00:00,Settlement ACC0047
TXN-D94DDB02A56E,39084.8,2024-08-24T18:24:15+00:00,Payment from ACC0014
TXN-2FC33D20CC75,49624.39,2024-12-02T17:28:09+00:00,Wire transfer ACC0008
TXN-1E699F28D960,11633.32,2024-11-29T14:57:23+00:00,Payment from ACC0099
TXN-93F47C70AE7E,43019.43,2024-04-27T16:34:48+00:00,Wire transfer ACC0085
TXN-0816DA4F0BA6,27023.05,2024-01-30T22:04:08+00:00,Wire transfer ACC0041
TXN-86C40E507CF4,4021.41,2024-08-02T02:14:49+00:00,Payment from ACC0085
TXN-18025A41B8B8,33369.15,2024-06-27T00:19:17+00:00,Deposit ref ACC0084
TXN-2BDA7402BD31,35716.42,2024-10-11T01:36:23+00:00,ACH credit ACC0085
TXN-60A8164A3D7F,40989.97,2024-04-02T01:56:07+00:00,Payment from ACC0085
TXN-0974AABE6FC6,13598.66,2024-02-05T16:54:37+00:00,Deposit ref ACC0021
TXN-173FD7968CDB,9176.09,2024-05-07T03:23:21+00:00,Wire transfer ACC0009
TXN-72B618A58DC7,45297.08,2024-05-15T16:24:48+00:00,ACH credit ACC0025
TXN-20FD7A55CF11,6479.8,2024-05-05T20:36:46+00:00,Deposit ref ACC0034
TXN-618A0E060120,9528.59,2024-02-07T15:27:38+00:00,Settlement ACC0053
TXN-96040EABC8F9,35334.23,2024-08-05T02:29:19+00:00,ACH credit ACC0063
TXN-16FB65FE5665,6618.13,2024-02-02T01:22:34+00:00,Settlement ACC0019
TXN-65DFC41AC747,4765.04,2024-11-07T15:57:57+00:00,Settlement ACC0061
TXN-4C4B990B7884,27631.97,2024-12-01T13:12:41+00:00,Deposit ref ACC0100
TXN-26897ED659EC,6332.41,2024-04-11T03:10:15+00:00,ACH credit ACC0074
TXN-3BAD998CB48A,14345.24,2024-07-26T19:28:59+00:00,Payment from ACC0045
TXN-6D4FE94CF2DD,5818.08,2024-09-08T21:48:51+00:00,ACH credit ACC0069
TXN-5983C218C14A,37261.16,2024-11-19T10:37:16+00:00,ACH credit ACC0078
TXN-10CD71837F2C,33454.41,2024-02-27T22:07:38+00:00,Payment from ACC0074
TXN-C1E0849A239F,13562.04,2024-12-24T21:47:19+00:00,Payment from ACC0061
TXN-2B0CE9A814C1,31557.54,2024-03-24T18:31:00+00:00,Settlement ACC0062
TXN-34DE1E515025,15383.26,2024-03-12T16:32:15+00:00,Wire transfer ACC0039
TXN-B873CC8B9781,1621.16,2024-10-23T22:01:06+00:00,Payment from ACC0029
TXN-1A08E24372E6,14085.61,2024-07-05T02:11:56+00:00,Wire transfer ACC0091
TXN-D25670DF253A,22123.62,2024-01-03T08:19:18+00:00,Payment from ACC0024
TXN-731D614E10E7,46024.65,2024-11-26T14:39:40+00:00,Settlement ACC0028
TXN-1A11FF61B90E,34223.81,2024-07-06T02:07:39+00:00,Payment from ACC0039
TXN-693745A7EA8E,32357.95,2024-06-19T23:22:53+00:00,Settlement ACC0045
TXN-1A516BE1707D,45283.72,2024-03-19T10:41:16+00:00,Wire transfer ACC0083
TXN-8CA0725C9BFB,21803.07,2024-05-24T01:03:22+00:00,Settlement ACC0031
TXN-18A11FE49AC8,5474.72,2024-06-26T10:37:14+00:00,Payment from ACC0067
TXN-05587D9A2D2E,8210.51,2024-11-15T01:34:01+00:00,Wire transfer ACC0078
