transaction_id,account_id,amount,currency,timestamp,description,status
TXN-650E9C4FF121,ACC0082,47877.78,USD,2024-11-11T14:09:30+00:00,ACH credit ACC0082,settled
TXN-ADCDD3C7049B,ACC0085,15746.27,USD,2024-12-21T13:00:55+00:00,Deposit ref ACC0085,settled
TXN-7AD32657AC30,ACC0077,39375.87,USD,2024-08-30T08:10:39+00:00,Payment from ACC0077,settled
TXN-5E05BEA2C553,ACC0089,45471.27,USD,2024-12-08T14:12:47+00:00,ACH credit ACC0089,settled
TXN-50B15D970845,ACC0046,23796.56,USD,2024-08-22T05:54:33+00:00,Settlement ACC0046,settled
TXN-00B8169C1BFD,ACC0066,24680.86,USD,2024-10-20T12:24:01+00:00,Payment from ACC0066,settled
TXN-1200494E1F32,ACC0008,18467.45,USD,2024-08-01T03:58:48+00:00,Payment from ACC0008,settled
TXN-CCBE370B8735,ACC0005,32286.15,USD,2024-07-05T23:51:48+00:00,Wire transfer ACC0005,settled
TXN-9F1C763BE156,ACC0037,18763.59,USD,2024-08-23T08:33:56+00:00,Settlement ACC0037,settled
TXN-C7C0C345D7AB,ACC0021,4351.27,USD,2024-04-17T03:55:04+00:00,Settlement ACC0021,settled
TXN-D93379C91173,ACC0022,32876.28,USD,2024-09-17T21:43:52+00:00,ACH credit ACC0022,settled
TXN-9E8146C5502D,ACC0066,28789.71,USD,2024-11-12T09:45:31+00:00,Deposit ref ACC0066,settled
TXN-36DD61AC585C,ACC0043,3170.46,USD,2024-04-16T08:52:16+00:00,Wire transfer ACC0043,settled
TXN-99E74F388AFE,ACC0077,338.59,USD,2024-12-08T14:24:01+00:00,Deposit ref ACC0077,settled
TXN-E186C003865A,ACC0067,25592.12,USD,2024-02-29T03:58:04+00:00,Wire transfer ACC0067,settled
TXN-B4D026B9CB5F,ACC0056,946.89,USD,2024-12-23T17:51:22+00:00,Payment from ACC0056,settled
TXN-09E261E80E19,ACC0042,30254.24,USD,2024-07-13T17:04:55+00:00,Wire transfer ACC0042,settled
TXN-3D3A9A62346E,ACC0091,32507.82,USD,2024-03-10T01:20:04+00:00,Deposit ref ACC0091,settled
TXN-2E8288FDBE67,ACC0055,892.89,USD,2024-03-18T12:48:44+00:00,Payment from ACC0055,settled
TXN-A48CC03FBC06,ACC0021,7002.32,USD,2024-10-17T03:23:37+00:00,Settlement ACC0021,settled
TXN-FCEE1ECA8650,ACC0070,9176.77,USD,2024-10-30T20:32:59+00:00,Settlement ACC0070,settled
TXN-96EFFC820DE4,ACC0091,7226.14,USD,2024-06-28T19:42:26+00:00,Payment from ACC0091,settled
TXN-75E6146F33D5,ACC0027,28884.34,USD,2024-06-27T07:59:17+00:00,Wire transfer ACC0027,settled
TXN-D03710759F3D,ACC0097,39583.01,USD,2024-10-07T09:28:25+00:00,Wire transfer ACC0097,settled
TXN-2DA8FCF7AA9C,ACC0056,25961.56,USD,2024-08-11T08:40:22+00:00,Deposit ref ACC0056,settled
TXN-99ED084F3535,ACC0031,20299.24,USD,2024-02-14T02:26:33+00:00,Wire transfer ACC0031,settled
TXN-726E0165B66C,ACC0098,12783.42,USD,2024-05-07T10:19:19+00:00,Payment from ACC0098,settled
TXN-46E04943B8F2,ACC0060,24274.26,USD,2024-06-18T09:03:12+00:00,Settlement ACC0060,settled
TXN-5E4C1BAAEE59,ACC0037,36313.19,USD,2024-07-01T05:38:16+00:00,ACH credit ACC0037,settled
TXN-5EB7E35DFDEA,ACC0053,17592.93,USD,2024-11-17T15:15:06+00:00,Deposit ref ACC0053,settled
TXN-190A9C484547,ACC0061,36676.48,USD,2024-07-14T19:38:12+00:00,Payment from ACC0061,settled
TXN-5C1D3BE8CCA1,ACC0036,43384.42,USD,2024-08-20T12:06:05+00:00,Deposit ref ACC0036,settled
TXN-52B7BD324657,ACC0096,20191.7,USD,2024-01-25T10:54:07+00:00,Deposit ref ACC0096,settled
TXN-4318891052C2,ACC0065,46744.64,USD,2024-10-03T17:53:58+00:00,ACH credit ACC0065,settled
TXN-59C8E9B38176,ACC0045,43990.83,USD,2024-06-17T16:00:37+00:00,Settlement ACC0045,settled
TXN-256C173F2D62,ACC0030,20659.14,USD,2024-10-19T06:27:07+00:00,Deposit ref ACC0030,settled
TXN-BFCC556A0C67,ACC0074,35920.61,USD,2024-10-18T00:23:08+00:00,Settlement ACC0074,settled
TXN-FE22560F9ACE,ACC0002,45910.99,USD,2024-06-07T21:26:39+00:00,Payment from ACC0002,settled
TXN-1143C9E3C982,ACC0029,30322.11,USD,2024-03-16T13:06:22+00:00,Settlement ACC0029,settled
TXN-B88EDBCD4E6F,ACC0011,20967.05,USD,2024-08-14T16:13:12+00:00,Deposit ref ACC0011,settled
TXN-22B08EC019A0,ACC0058,31051.35,USD,2024-11-06T15:38:39+00:00,Payment from ACC0058,settled
TXN-2795EFA636E1,ACC0033,20598.81,USD,2024-10-14T14:03:50+00:00,ACH credit ACC0033,settled
TXN-6BB38080A6F5,ACC0061,45359.87,USD,2024-08-28T03:38:44+00:00,Payment from ACC0061,settled
TXN-93A9C6149E4B,ACC0086,20425.56,USD,2024-06-05T06:38:36+00:00,ACH credit ACC0086,settled
TXN-26FC713677DB,ACC0085,43323.73,USD,2024-02-21T04:29:42+00:00,Payment from ACC0085,settled
TXN-065D69E52580,ACC0002,42601.42,USD,2024-09-14T14:55:01+00:00,Wire transfer ACC0002,settled
TXN-65DFC41AC747,ACC0061,4765.04,USD,2024-11-07T15:57:57+00:00,Settlement ACC0061,settled
TXN-D15B184584FF,ACC0068,20847.95,USD,2024-04-21T23:31:33+00:00,Settlement ACC0068,settled
TXN-ED801675A01F,ACC0011,14542.24,USD,2024-06-18T20:26:56+00:00,Payment from ACC0011,settled
TXN-162826D00A04,ACC0024,44046.02,USD,2024-08-31T19:55:46+00:00,Deposit ref ACC0024,settled
TXN-4C53CAD10201,ACC0092,22632.1,USD,2024-02-07T20:10:43+00:00,Wire transfer ACC0092,settled
TXN-EE461B0C7C14,ACC0089,11886.59,USD,2024-10-16T14:53:31+00:00,Settlement ACC0089,settled
TXN-9F93D4AE76B6,ACC0081,43671.34,USD,2024-11-01T07:16:40+00:00,Payment from ACC0081,settled
TXN-A423B90E374D,ACC0100,42243.88,USD,2024-05-07T02:39:56+00:00,Payment from ACC0100,settled
TXN-B5D68376BD5C,ACC0053,45400.6,USD,2024-09-07T10:31:31+00:00,Settlement ACC0053,settled
TXN-ED58C4240B81,ACC0029,24416.59,USD,2024-04-15T23:56:29+00:00,Settlement ACC0029,settled
TXN-74402344068E,ACC0098,23206.43,USD,2024-03-07T21:40:44+00:00,Payment from ACC0098,settled
TXN-7912FCE5C306,ACC0061,31845.3,USD,2024-07-12T03:39:12+00:00,ACH credit ACC0061,settled
TXN-121D6F503D4E,ACC0097,1194.43,USD,2024-11-24T22:00:17+00:00,ACH credit ACC0097,settled
TXN-612331BF6745,ACC0004,29527.27,USD,2024-02-19T18:53:33+00:00,ACH credit ACC0004,settled
TXN-6D0850DED1C1,ACC0013,29597.31,USD,2024-04-16T03:56:45+00:00,Payment from ACC0013,settled
TXN-599079AF0D8F,ACC0100,24415.94,USD,2024-08-21T01:36:48+00:00,Payment from ACC0100,settled
TXN-E84DFB3868F8,ACC0040,34936.81,USD,2024-10-10T11:42:18+00:00,Wire transfer ACC0040,settled
TXN-731C91F55ACB,ACC0016,25107.03,USD,2024-12-16T06:41:58+00:00,Payment from ACC0016,settled
TXN-7FC889BBFB6E,ACC0077,32903.74,USD,2024-05-07T22:28:53+00:00,Payment from ACC0077,settled
TXN-F7D8272C3195,ACC0065,35841.43,USD,2024-06-27T05:47:02+00:00,ACH credit ACC0065,settled
TXN-39A90F16BDBE,ACC0021,43442.24,USD,2024-03-10T11:09:32+00:00,Payment from ACC0021,settled
TXN-3FC8206E9DE2,ACC0092,36883.24,USD,2024-02-22T12:19:28+00:00,Payment from ACC0092,settled
TXN-9271FD1B20E9,ACC0043,20370.26,USD,2024-10-14T22:49:38+00:00,Deposit ref ACC0043,settled
TXN-FCA7D0B7FB3F,ACC0071,4904.46,USD,2024-09-10T06:25:51+00:00,Deposit ref ACC0071,settled
TXN-D176FFFB092C,ACC0069,41439.15,USD,2024-12-07T05:29:33+00:00,Settlement ACC0069,settled
TXN-A456CF75106E,ACC0080,37784.95,USD,2024-06-16T00:46:26+00:00,Payment from ACC0080,settled
TXN-3693CE04E494,ACC0093,31273.23,USD,2024-07-03T03:17:56+00:00,Settlement ACC0093,settled
TXN-A0698041AF34,ACC0022,45121.74,USD,2024-10-13T21:56:22+00:00,Settlement ACC0022,settled
TXN-495912DCFA97,ACC0093,22246.6,USD,2024-08-13T03:46:17+00:00,ACH credit ACC0093,settled
TXN-A3F2A48DAC52,ACC0061,10678.91,USD,2024-03-23T03:15:23+00:00,Payment from ACC0061,settled
TXN-1B45A81711E8,ACC0077,30837.27,USD,2024-06-26T19:34:47+00:00,Payment from ACC0077,settled
TXN-1959EE751173,ACC0009,12679.16,USD,2024-02-16T04:43:18+00:00,Settlement ACC0009,settled
TXN-213D6362E4B0,ACC0024,49847.3,USD,2024-06-18T06:44:33+00:00,Settlement ACC0024,settled
TXN-193050FADE32,ACC0077,5446.14,USD,2024-11-12T03:39:06+00:00,Deposit ref ACC0077,settled
TXN-32E6B415485F,ACC0007,20057.74,USD,2024-06-15T13:40:08+00:00,Deposit ref ACC0007,settled
TXN-4BF91D56C162,ACC0030,14874.45,USD,2024-05-12T11:26:34+00:00,Payment from ACC0030,settled
TXN-1C4402DEA093,ACC0084,32108.69,USD,2024-08-06T05:17:13+00:00,Settlement ACC0084,settled
TXN-124B4F1BC24D,ACC0088,6111.47,USD,2024-12-02T16:35:13+00:00,Wire transfer ACC0088,settled
TXN-EDAEBC0A1D4B,ACC0091,13433.05,USD,2024-02-16T06:07:26+00:00,Wire transfer ACC0091,settled
TXN-08063E11FEAF,ACC0032,14371.61,USD,2024-06-03T22:18:10+00:00,ACH credit ACC0032,settled
TXN-44C77EA423AB,ACC0093,6215.61,USD,2024-05-23T21:53:45+00:00,Settlement ACC0093,settled
TXN-77107E8B4450,ACC0080,15702.64,USD,2024-11-25T08:04:31+00:00,Payment from ACC0080,settled
TXN-EBEF025C0FCE,ACC0009,22738.64,USD,2024-05-23T04:05:17+00:00,Deposit ref ACC0009,settled
TXN-16FB65FE5665,ACC0019,6618.13,USD,2024-02-02T01:22:34+00:00,Settlement ACC0019,settled
TXN-7D3FEB3C52CC,ACC0100,14160.13,USD,2024-06-30T01:46:09+00:00,Deposit ref ACC0100,settled
TXN-A352FEFF5F3A,ACC0060,2520.42,USD,2024-04-06T18:41:46+00:00,Payment from ACC0060,settled
TXN-A3AAEE58B16D,ACC0031,49482.45,USD,2024-01-03T01:16:25+00:00,Deposit ref ACC0031,settled
TXN-D6E6D1B63D24,ACC0009,39785.94,USD,2024-06-03T10:58:50+00:00,Wire transfer ACC0009,settled
TXN-E0307F5E88E1,ACC0016,34734.03,USD,2024-04-16T13:45:58+00:00,ACH credit ACC0016,settled
TXN-B12C77639261,ACC0029,4599.05,USD,2024-10-24T13:31:12+00:00,ACH credit ACC0029,settled
TXN-B8B664689B78,ACC0066,17671.04,USD,2024-01-20T18:29:00+00:00,Settlement ACC0066,settled
TXN-2BD0EC2899FE,ACC0043,28787.03,USD,2024-11-27T10:15:59+00:00,Deposit ref ACC0043,settled
TXN-9B064BEBBE38,ACC0049,43609.62,USD,2024-11-29T10:40:08+00:00,Settlement ACC0049,settled
TXN-3687BBB138D0,ACC0093,30888.72,USD,2024-04-19T19:01:05+00:00,Payment from ACC0093,settled
TXN-EE0D72B3293E,ACC0082,6098.29,USD,2024-02-16T14:16:03+00:00,Payment from ACC0082,settled
TXN-C3A8B9F1BBF7,ACC0023,7910.7,USD,2024-01-12T06:54:27+00:00,Settlement ACC0023,settled
TXN-A5BC736C4379,ACC0021,36601.93,USD,2024-07-31T10:50:26+00:00,Payment from ACC0021,settled
TXN-865F71A5B2E0,ACC0093,14172.02,USD,2024-03-15T23:37:54+00:00,Payment from ACC0093,settled
TXN-062CF7E0C421,ACC0064,226.84,USD,2024-10-12T22:00:40+00:00,Payment from ACC0064,settled
TXN-E3513564CE41,ACC0061,10768.31,USD,2024-12-29T07:17:21+00:00,Settlement ACC0061,settled
TXN-254A9B57AD1B,ACC0084,43124.7,USD,2024-11-08T01:37:52+00:00,Payment from ACC0084,settled
TXN-ABA2E0F3BFC6,ACC0034,27298.51,USD,2024-02-15T18:09:13+00:00,ACH credit ACC0034,settled
TXN-722CA2DEF53F,ACC0065,18647.54,USD,2024-07-02T21:46:50+00:00,ACH credit ACC0065,settled
TXN-F99DD08929F1,ACC0081,29493.58,USD,2024-11-08T04:56:38+00:00,Wire transfer ACC0081,settled
TXN-797326E7D6C7,ACC0069,496.06,USD,2024-11-19T04:27:08+00:00,ACH credit ACC0069,settled
TXN-77184A10F094,ACC0077,243.24,USD,2024-10-26T23:22:48+00:00,Settlement ACC0077,settled
TXN-5A2DBC2D5171,ACC0064,11386.61,USD,2024-08-06T10:16:36+00:00,Payment from ACC0064,settled
TXN-8B8692CA5A73,ACC0046,33849.62,USD,2024-03-08T20:27:35+00:00,Deposit ref ACC0046,settled
TXN-CF00A2586FF6,ACC0009,35805.09,USD,2024-06-26T17:52:58+00:00,Payment from ACC0009,settled
TXN-9D0E723E9D21,ACC0043,18034.83,USD,2024-11-10T14:04:32+00:00,ACH credit ACC0043,settled
TXN-86CF87C857F6,ACC0059,28199.92,USD,2024-08-05T00:22:02+00:00,Settlement ACC0059,settled
TXN-253F3BE995B2,ACC0063,27588.07,USD,2024-03-09T06:17:47+00:00,Deposit ref ACC0063,settled
TXN-988B4A114AEF,ACC0047,31475.73,USD,2024-04-05T07:46:18+00:00,Wire transfer ACC0047,settled
TXN-EB4127336E16,ACC0032,14014.33,USD,2024-08-23T14:53:56+00:00,Deposit ref ACC0032,settled
TXN-0A6B8EC11585,ACC0095,36372.83,USD,2024-10-01T02:18:07+00:00,Wire transfer ACC0095,settled
TXN-DF46BFF9DF90,ACC0069,16344.25,USD,2024-08-15T17:59:25+00:00,Payment from ACC0069,settled
TXN-B3D43FBB3123,ACC0098,18068.91,USD,2024-04-21T22:52:58+00:00,Deposit ref ACC0098,settled
TXN-8E97901F62C9,ACC0068,23748.11,USD,2024-08-06T00:01:06+00:00,Payment from ACC0068,settled
TXN-4EA8160312A3,ACC0080,41412.85,USD,2024-01-08T07:53:47+00:00,Payment from ACC0080,settled
TXN-5C9A8ECD436C,ACC0027,19466.66,USD,2024-03-14T00:17:36+00:00,Wire transfer ACC0027,settled
TXN-C225FB5FCBC4,ACC0058,30771.26,USD,2024-12-17T19:12:13+00:00,Payment from ACC0058,settled
TXN-2928AAC22138,ACC0041,10011.85,USD,2024-06-05T05:43:00+00:00,ACH credit ACC0041,settled
TXN-86945EEEB0D5,ACC0089,37580.76,USD,2024-02-11T07:58:05+00:00,Wire transfer ACC0089,settled
TXN-F3B4AF3A5ED4,ACC0060,5524.7,USD,2024-02-22T18:47:42+00:00,Settlement ACC0060,settled
TXN-ABE1DFF6FCD7,ACC0087,41270.7,USD,2024-12-15T07:29:34+00:00,ACH credit ACC0087,settled
TXN-C076114E9267,ACC0084,17519.38,USD,2024-07-04T11:29:08+00:00,ACH credit ACC0084,settled
TXN-5090C911E38F,ACC0075,37892.73,USD,2024-01-05T14:49:46+00:00,Settlement ACC0075,settled
TXN-DDA26D5E7FD6,ACC0016,21060.56,USD,2024-08-01T15:31:27+00:00,Settlement ACC0016,settled
TXN-FFE0CAEDB7D3,ACC0085,32360.24,USD,2024-11-28T09:13:32+00:00,Wire transfer ACC0085,settled
TXN-33357A0D6A7F,ACC0032,15036.99,USD,2024-07-20T17:33:37+00:00,ACH credit ACC0032,settled
TXN-209B02644D1D,ACC0016,32694.11,USD,2024-12-12T16:26:29+00:00,ACH credit ACC0016,settled
TXN-C34F3F449E74,ACC0078,10616.64,USD,2024-03-25T10:54:21+00:00,Payment from ACC0078,settled
TXN-8D92705A2EE2,ACC0035,19124.72,USD,2024-03-10T17:40:26+00:00,Settlement ACC0035,settled
TXN-61132E3D6122,ACC0052,472.83,USD,2024-02-15T15:57:20+00:00,Settlement ACC0052,settled
TXN-3DBDCD81783A,ACC0032,38414.99,USD,2024-09-19T21:14:40+00:00,Payment from ACC0032,settled
TXN-8271205F7FA3,ACC0054,39975.59,USD,2024-12-08T23:42:33+00:00,Wire transfer ACC0054,settled
TXN-7D9E1848D46E,ACC0049,18476.39,USD,2024-06-22T02:55:36+00:00,Payment from ACC0049,settled
TXN-0ACB96A793DB,ACC0012,20269.86,USD,2024-05-26T11:28:30+00:00,Deposit ref ACC0012,settled
TXN-E136E14910C0,ACC0035,40059.39,USD,2024-10-09T08:53:20+00:00,Settlement ACC0035,settled
TXN-30BCB8EFFB77,ACC0066,8869.06,CAD,2024-06-07T14:47:54+00:00,FX transfer CAD ACC0066,settled
TXN-BE566D48845B,ACC0054,23688.16,USD,2024-04-18T07:33:25+00:00,Settlement ACC0054,settled
TXN-1FEA6415E7AF,ACC0034,45533.34,USD,2024-01-09T03:40:33+00:00,Wire transfer ACC0034,settled
TXN-DC12ACA2E9A0,ACC0044,37854.75,USD,2024-03-03T03:33:46+00:00,Payment from ACC0044,settled
TXN-EDBA7BD0494E,ACC0025,1690.13,USD,2024-08-20T19:53:02+00:00,Deposit ref ACC0025,settled
TXN-657B7A9B6D72,ACC0072,2966.72,USD,2024-05-24T21:58:55+00:00,Payment from ACC0072,settled
TXN-4A92EC9ADE35,ACC0081,32368.79,USD,2024-01-26T14:20:34+00:00,ACH credit ACC0081,settled
TXN-C31A32A29BD5,ACC0039,49219.63,USD,2024-09-13T00:39:29+00:00,Wire transfer ACC0039,settled
TXN-4879D0586CAE,ACC0048,20798.12,USD,2024-08-01T07:14:11+00:00,Settlement ACC0048,settled
TXN-7EBFFA2E0545,ACC0063,39634.95,USD,2024-12-10T13:02:30+00:00,Deposit ref ACC0063,settled
TXN-146517F4F512,ACC0047,921.34,USD,2024-04-29T22:50:25+00:00,Wire transfer ACC0047,settled
TXN-05019881E95E,ACC0066,49493.45,USD,2024-01-29T04:35:19+00:00,Deposit ref ACC0066,settled
TXN-275552101832,ACC0038,35999.95,USD,2024-12-07T20:18:09+00:00,ACH credit ACC0038,settled
TXN-F61CE1F17D97,ACC0083,23941.96,USD,2024-01-18T01:20:22+00:00,ACH credit ACC0083,settled
TXN-D66DF50DBE97,ACC0040,33307.32,USD,2024-09-12T13:29:33+00:00,Wire transfer ACC0040,settled
TXN-9CA552261C4C,ACC0033,17779.33,USD,2024-08-15T09:53:17+00:00,Payment from ACC0033,settled
TXN-45EF51C1CA0C,ACC0050,9336.26,USD,2024-07-12T06:07:33+00:00,Settlement ACC0050,settled
TXN-C60290F73BEA,ACC0018,15031.02,USD,2024-10-15T20:00:24+00:00,Settlement ACC0018,settled
TXN-7C1632644995,ACC0042,39909.37,USD,2024-10-15T20:43:06+00:00,Payment from ACC0042,settled
TXN-F7664817C3E8,ACC0065,24647.06,USD,2024-05-11T17:21:22+00:00,Settlement ACC0065,settled
TXN-33DA69034857,ACC0054,35510.02,USD,2024-06-21T08:59:53+00:00,Settlement ACC0054,settled
TXN-8230276F0854,ACC0091,8468.99,USD,2024-08-15T21:48:54+00:00,ACH credit ACC0091,settled
TXN-F8607ABE29FA,ACC0087,16468.77,USD,2024-04-27T13:30:49+00:00,ACH credit ACC0087,settled
TXN-F5B939D20141,ACC0013,44767.34,USD,2024-10-19T03:57:43+00:00,Payment from ACC0013,settled
TXN-616D659BBF53,ACC0089,13380.16,USD,2024-07-30T02:50:22+00:00,Payment from ACC0089,settled
TXN-78EF3290F298,ACC0096,18663.51,USD,2024-07-09T02:56:49+00:00,ACH credit ACC0096,settled
TXN-40826B27A108,ACC0036,7029.9,USD,2024-05-02T13:03:18+00:00,Settlement ACC0036,settled
TXN-0AB9DAE5BEC8,ACC0036,38338.71,USD,2024-12-01T14:37:06+00:00,ACH credit ACC0036,settled
TXN-0730C242B776,ACC0024,41127.02,USD,2024-08-05T05:00:02+00:00,Deposit ref ACC0024,settled
TXN-2F9C47E9AF04,ACC0035,43924.99,USD,2024-02-06T02:22:08+00:00,ACH credit ACC0035,settled
TXN-0E0D48F4A08F,ACC0013,26725.67,USD,2024-05-16T13:25:23+00:00,Wire transfer ACC0013,settled
TXN-CED4B9B895F2,ACC0076,43441.93,USD,2024-01-15T12:40:13+00:00,ACH credit ACC0076,settled
TXN-A511FDACC296,ACC0060,49168.61,USD,2024-11-28T11:48:25+00:00,Deposit ref ACC0060,settled
TXN-07AF3C088F08,ACC0031,11609.35,USD,2024-08-16T14:18:45+00:00,Payment from ACC0031,settled
TXN-2614520016F4,ACC0041,43101.72,USD,2024-02-03T02:21:25+00:00,Wire transfer ACC0041,settled
TXN-C6D2F25DF028,ACC0092,27143.37,USD,2024-05-04T17:15:53+00:00,Wire transfer ACC0092,settled
TXN-1D8A9127CBCE,ACC0044,23317.95,USD,2024-11-20T17:04:09+00:00,Payment from ACC0044,settled
TXN-FC3667F6AEDC,ACC0056,38184.35,USD,2024-01-15T00:59:51+00:00,Deposit ref ACC0056,settled
TXN-2E1D589AD03D,ACC0013,37232.0,USD,2024-05-24T17:19:13+00:00,Wire transfer ACC0013,settled
TXN-68A4F727ECAF,ACC0072,35105.37,USD,2024-01-26T23:54:45+00:00,Payment from ACC0072,settled
TXN-D4571DA06190,ACC0037,27401.45,USD,2024-06-13T09:06:23+00:00,Wire transfer ACC0037,settled
TXN-BF602CDEABDE,ACC0027,32105.52,USD,2024-04-02T10:55:01+00:00,Deposit ref ACC0027,settled
TXN-298FC0FD172E,ACC0001,32596.13,USD,2024-10-05T13:07:43+00:00,Payment from ACC0001,settled
TXN-108F25BB14D0,ACC0018,10219.62,USD,2024-11-13T04:46:37+00:00,ACH credit ACC0018,settled
TXN-005A81D66AA6,ACC0045,15358.45,USD,2024-06-18T09:20:38+00:00,Deposit ref ACC0045,settled
TXN-F19173AE8FF5,ACC0044,21856.5,USD,2024-06-10T03:29:16+00:00,Payment from ACC0044,settled
TXN-62D3A1420EC1,ACC0054,32864.07,USD,2024-04-16T17:01:46+00:00,ACH credit ACC0054,settled
TXN-8EEA74C81DEB,ACC0018,38607.31,USD,2024-01-27T09:50:32+00:00,ACH credit ACC0018,settled
TXN-8FB6C67F3EDD,ACC0056,39217.86,USD,2024-06-18T01:47:26+00:00,Deposit ref ACC0056,settled
TXN-D044CB8AB3EE,ACC0067,21594.87,USD,2024-06-21T00:52:33+00:00,Payment from ACC0067,settled
TXN-66B5D72C0F34,ACC0040,16513.79,USD,2024-01-16T02:58:04+00:00,Deposit ref ACC0040,settled
